#
#   VizieR Astronomical Server vizier.u-strasbg.fr
#    Date: 2019-11-02T18:27:04 [V1.99+ (14-Oct-2013)]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	votable-version=1.99+ (14-Oct-2013)	
#INFO	-ref=VIZ5dbdc9ad607b	
#INFO	-out.max=unlimited	
#INFO	queryParameters=22	
#-oc.form=dec
#-out.max=unlimited
#-out.add=_r
#-out.add=_RAJ,_DEJ
#-sort=_r
#-nav=cat:J/ApJ/810/71&tab:{J/ApJ/810/71/table3}&key:source=J/ApJ/810/71&HTTPPRM:&-out.max=50&-out.form=HTML Table&-out.add=_r&-out.add=_RAJ,_DEJ&-sort=_r&-oc.form=sexa&
#-c.eq=J2000
#-c.r=  2
#-c.u=arcmin
#-c.geom=r
#-source=J/ApJ/810/71/table3
#-order=I
#-out=ID
#-out=HRG14
#-out=RAJ2000
#-out=DEJ2000
#-out=zphot
#-out=b_zphot
#-out=B_zphot
#-out=1500Mag
#-out=b_1500Mag
#-out=B_1500Mag
#

#RESOURCE=yCat_18100071
#Name: J/ApJ/810/71
#Title: UV mag of candidate galaxies at 3~<z~<8.5 (Finkelstein+, 2015)
#Table	J_ApJ_810_71_table3:
#Name: J/ApJ/810/71/table3
#Title: Catalog of candidate galaxies at 3.5~<z~<8.5
#Column	_RAJ2000	(F12.8)	Right ascension (FK5, Equinox=J2000.0) (computed by VizieR, not part of the original data. The format may include more digits than the original data because of internal accuracy requirements in VizieR and across other CDS services)	[ucd=pos.eq.ra]
#Column	_DEJ2000	(F12.8)	Declination (FK5, Equinox=J2000.0) (computed by VizieR, not part of the original data. The format may include more digits than the original data because of internal accuracy requirements in VizieR and across other CDS services)	[ucd=pos.eq.dec]
#Column	ID	(a19)	Catalog identifier	[ucd=meta.id]
#Column	HRG14	(A25)	IAU designation (JHHMMSS.ss+DDMMSS.s) (1)	[ucd=meta.id;meta.main]
#Column	RAJ2000	(F10.6)	Right Ascension in decimal degrees (J2000)	[ucd=pos.eq.ra;meta.main]
#Column	DEJ2000	(F10.6)	Declination in decimal degrees (J2000)	[ucd=pos.eq.dec;meta.main]
#Column	zphot	(F5.2)	[2.8/8.4] Photometric redshift	[ucd=src.redshift]
#Column	b_zphot	(F5.2)	[0.2/8] Lower 68% confidence boundary in zphot	[ucd=stat.fit.param]
#Column	B_zphot	(F5.2)	[3.5/9.7] Upper 68% confidence boundary in zphot	[ucd=stat.fit.param]
#Column	1500Mag	(F6.2)	[-22.8/-15.4] Absolute AB magnitude at 1500 Angstroms	[ucd=phys.magAbs]
#Column	b_1500Mag	(F6.2)	[-23/-16] Lower 68% confidence boundary in 1500Mag	[ucd=stat.fit.param]
#Column	B_1500Mag	(F6.2)	[-22.7/-15] Lower 68% confidence boundary in 1500Mag	[ucd=stat.fit.param]
_RAJ2000;_DEJ2000;ID;HRG14;RAJ2000;DEJ2000;zphot;b_zphot;B_zphot;1500Mag;b_1500Mag;B_1500Mag
053.07889889;-27.82250000;z4_GSD_23492       ;HRG14 J033218.94-274921.0;053.078899;-27.822500; 3.50; 3.06; 3.76;-19.15;-19.35;-18.91
053.05965389;-27.81671500;z4_GSD_21685       ;HRG14 J033214.32-274900.2;053.059654;-27.816715; 3.50; 2.99; 3.77;-18.99;-19.21;-18.75
053.16624111;-27.81982611;z4_GSD_22173       ;HRG14 J033239.90-274911.4;053.166241;-27.819826; 3.51; 0.45; 3.72;-19.77;-19.97;-19.62
053.12988694;-27.75191889;z4_GSD_2287        ;HRG14 J033231.17-274506.9;053.129887;-27.751919; 3.51; 3.40; 3.61;-20.61;-20.70;-20.57
053.11537889;-27.77035694;z4_GSD_6511        ;HRG14 J033227.69-274613.3;053.115379;-27.770357; 3.51; 3.37; 3.66;-20.63;-20.81;-20.63
053.20288500;-27.80312194;z4_GSD_17364       ;HRG14 J033248.69-274811.2;053.202885;-27.803122; 3.51; 0.40; 3.68;-19.18;-19.33;-18.95
053.10830306;-27.75267611;z4_GSD_2220        ;HRG14 J033225.99-274509.6;053.108303;-27.752676; 3.51; 3.01; 3.85;-18.34;-18.61;-18.10
053.17305389;-27.83741194;z4_GSD_28459       ;HRG14 J033241.53-275014.7;053.173054;-27.837412; 3.51; 0.68; 4.03;-17.98;-18.54;-17.62
053.06210306;-27.76569694;z4_GSD_5255        ;HRG14 J033214.90-274556.5;053.062103;-27.765697; 3.51; 0.54; 3.69;-19.37;-19.56;-19.20
053.13325889;-27.77982500;z4_GSD_9436        ;HRG14 J033231.98-274647.4;053.133259;-27.779825; 3.51; 0.47; 3.69;-20.24;-20.42;-20.17
053.18810694;-27.84113500;z4_GSD_29508       ;HRG14 J033245.15-275028.1;053.188107;-27.841135; 3.51; 3.31; 3.69;-20.26;-20.46;-20.16
053.09684000;-27.86607389;z4_GSD_34736       ;HRG14 J033223.24-275157.9;053.096840;-27.866074; 3.51; 0.38; 3.64;-21.36;-21.50;-21.32
053.09466194;-27.84512889;z4_GSD_30580       ;HRG14 J033222.72-275042.5;053.094662;-27.845129; 3.52; 3.28; 3.71;-20.00;-20.15;-19.86
053.21045694;-27.82472194;z4_GSD_24132       ;HRG14 J033250.51-274929.0;053.210457;-27.824722; 3.52; 2.97; 3.78;-18.09;-18.37;-17.83
053.09324306;-27.79487000;z4_GSD_14636       ;HRG14 J033222.38-274741.5;053.093243;-27.794870; 3.52; 0.48; 3.87;-18.45;-18.72;-18.06
053.10976000;-27.86718611;z4_GSD_34985       ;HRG14 J033226.34-275201.9;053.109760;-27.867186; 3.52; 0.66; 3.78;-18.78;-18.98;-18.41
053.05389806;-27.77832000;z4_GSD_8985        ;HRG14 J033212.94-274642.0;053.053898;-27.778320; 3.52; 2.57; 4.25;-18.08;-18.56;-17.47
053.08866500;-27.83699611;z4_GSD_28329       ;HRG14 J033221.28-275013.2;053.088665;-27.836996; 3.53; 2.99; 3.83;-18.18;-18.49;-17.92
053.19648694;-27.76667611;z4_GSD_5487        ;HRG14 J033247.16-274600.0;053.196487;-27.766676; 3.53; 3.40; 3.69;-19.60;-19.67;-19.38
053.05158194;-27.78856111;z4_GSD_12538       ;HRG14 J033212.38-274718.8;053.051582;-27.788561; 3.53; 3.43; 3.67;-19.60;-19.67;-19.42
053.05439389;-27.78834889;z4_GSD_12408       ;HRG14 J033213.05-274718.1;053.054394;-27.788349; 3.53; 3.27; 3.67;-20.27;-20.38;-20.08
053.13924389;-27.75709889;z4_GSD_3360        ;HRG14 J033233.42-274525.6;053.139244;-27.757099; 3.53; 3.41; 3.68;-19.29;-19.44;-19.13
053.12446611;-27.86591694;z4_GSD_34935       ;HRG14 J033229.87-275157.3;053.124466;-27.865917; 3.53; 0.42; 3.83;-19.78;-20.16;-19.74
053.09590500;-27.82320000;z4_GSD_23713       ;HRG14 J033223.02-274923.5;053.095905;-27.823200; 3.53; 3.10; 3.70;-18.60;-18.72;-18.39
053.17742889;-27.75744806;z4_GSD_3439        ;HRG14 J033242.58-274526.8;053.177429;-27.757448; 3.53; 2.88; 3.89;-18.07;-18.34;-17.67
053.18957500;-27.84308389;z4_GSD_30097       ;HRG14 J033245.50-275035.1;053.189575;-27.843084; 3.53; 3.29; 3.74;-18.88;-19.01;-18.59
053.15298806;-27.80600194;z4_GSD_18131       ;HRG14 J033236.72-274821.6;053.152988;-27.806002; 3.53; 3.32; 3.67;-19.23;-19.31;-18.95
053.19160111;-27.83111806;z4_GSD_26338       ;HRG14 J033245.98-274952.0;053.191601;-27.831118; 3.54; 3.18; 3.75;-19.61;-19.76;-19.36
053.08689111;-27.84413889;z4_GSD_30292       ;HRG14 J033220.85-275038.9;053.086891;-27.844139; 3.54; 0.40; 3.70;-21.03;-21.23;-20.98
053.08189389;-27.79284500;z4_GSD_13996       ;HRG14 J033219.65-274734.2;053.081894;-27.792845; 3.54; 0.52; 3.82;-18.60;-18.88;-18.27
053.18079000;-27.79421000;z4_GSD_14419       ;HRG14 J033243.39-274739.2;053.180790;-27.794210; 3.54; 0.37; 3.92;-19.38;-19.77;-19.21
053.11854889;-27.85474806;z4_GSD_32837       ;HRG14 J033228.45-275117.1;053.118549;-27.854748; 3.54; 0.48; 3.82;-18.28;-18.55;-18.07
053.07095306;-27.79549806;z4_GSD_14859       ;HRG14 J033217.03-274743.8;053.070953;-27.795498; 3.54; 3.35; 3.70;-19.72;-19.86;-19.49
053.16992194;-27.83418306;z4_GSD_27037       ;HRG14 J033240.78-275003.1;053.169922;-27.834183; 3.54; 3.45; 3.63;-20.45;-20.57;-20.42
053.23080389;-27.82230000;z4_GSD_23433       ;HRG14 J033255.39-274920.3;053.230804;-27.822300; 3.54; 0.39; 3.88;-19.00;-19.31;-18.72
053.06475389;-27.87988306;z4_GSD_36217       ;HRG14 J033215.54-275247.6;053.064754;-27.879883; 3.54; 3.17; 3.72;-20.06;-20.19;-19.82
053.17907306;-27.76268611;z4_GSD_4534        ;HRG14 J033242.98-274545.7;053.179073;-27.762686; 3.54; 3.08; 4.47;-18.93;-19.32;-18.45
053.02244889;-27.79106111;z4_GSD_13382       ;HRG14 J033205.39-274727.8;053.022449;-27.791061; 3.54; 3.29; 3.71;-20.04;-20.17;-19.90
053.10481306;-27.81461694;z4_GSD_20917       ;HRG14 J033225.16-274852.6;053.104813;-27.814617; 3.54; 3.47; 3.62;-21.57;-21.59;-21.47
053.09418111;-27.79453306;z4_GSD_14523       ;HRG14 J033222.60-274740.3;053.094181;-27.794533; 3.54; 2.90; 4.07;-18.56;-18.89;-18.10
053.07588194;-27.76866889;z4_GSD_6059        ;HRG14 J033218.21-274607.2;053.075882;-27.768669; 3.54; 3.38; 3.71;-20.26;-20.39;-20.19
053.13203000;-27.74675194;z4_GSD_1473        ;HRG14 J033231.69-274448.3;053.132030;-27.746752; 3.54; 0.50; 4.08;-18.41;-18.80;-18.16
053.11499806;-27.86035000;z4_GSD_33930       ;HRG14 J033227.60-275137.3;053.114998;-27.860350; 3.54; 3.36; 3.69;-19.62;-19.73;-19.46
053.06803889;-27.79972806;z4_GSD_16281       ;HRG14 J033216.33-274759.0;053.068039;-27.799728; 3.54; 0.34; 3.69;-19.02;-19.18;-18.78
053.05643806;-27.78896306;z4_GSD_12612       ;HRG14 J033213.55-274720.3;053.056438;-27.788963; 3.54; 3.32; 3.69;-20.40;-20.52;-20.32
053.15129889;-27.74291000;z4_GSD_1015        ;HRG14 J033236.31-274434.5;053.151299;-27.742910; 3.55; 3.46; 3.65;-21.44;-21.58;-21.41
053.07040000;-27.81059806;z4_GSD_19659       ;HRG14 J033216.90-274838.2;053.070400;-27.810598; 3.55; 3.33; 3.72;-19.68;-19.87;-19.48
053.19590000;-27.74909611;z4_GSD_1839        ;HRG14 J033247.02-274456.7;053.195900;-27.749096; 3.55; 0.38; 3.80;-19.16;-19.31;-18.80
053.21313111;-27.79211194;z4_GSD_13749       ;HRG14 J033251.15-274731.6;053.213131;-27.792112; 3.55; 3.27; 3.73;-19.86;-20.01;-19.72
053.15123000;-27.84605000;z4_GSD_30821       ;HRG14 J033236.30-275045.8;053.151230;-27.846050; 3.55; 3.15; 3.74;-19.23;-19.38;-18.90
053.12039889;-27.75886694;z4_GSD_3749        ;HRG14 J033228.90-274531.9;053.120399;-27.758867; 3.55; 3.41; 3.68;-20.48;-20.57;-20.38
053.15610889;-27.82121694;z4_GSD_23105       ;HRG14 J033237.47-274916.4;053.156109;-27.821217; 3.55; 0.77; 3.79;-18.06;-18.40;-17.83
053.19596500;-27.74810389;z4_GSD_1668        ;HRG14 J033247.03-274453.2;053.195965;-27.748104; 3.55; 3.36; 3.64;-19.95;-20.05;-19.75
053.17372111;-27.75947194;z4_GSD_3687        ;HRG14 J033241.69-274534.1;053.173721;-27.759472; 3.55; 3.04; 4.05;-19.66;-19.94;-19.18
053.11682889;-27.85650306;z4_GSD_33205       ;HRG14 J033228.04-275123.4;053.116829;-27.856503; 3.55; 3.46; 3.63;-20.02;-20.10;-19.95
053.11584500;-27.78924194;z4_GSD_13191       ;HRG14 J033227.80-274721.3;053.115845;-27.789242; 3.55; 1.40; 3.74;-18.61;-18.81;-18.33
053.04509694;-27.83611306;z4_GSD_27984       ;HRG14 J033210.82-275010.0;053.045097;-27.836113; 3.55; 0.35; 3.73;-20.08;-20.23;-19.96
053.10520889;-27.79680611;z4_GSD_15264       ;HRG14 J033225.25-274748.5;053.105209;-27.796806; 3.55; 3.34; 3.65;-19.46;-19.51;-19.26
053.20788194;-27.77470000;z4_GSD_7412        ;HRG14 J033249.89-274628.9;053.207882;-27.774700; 3.55; 1.31; 4.83;-17.36;-18.07;-17.05
053.08222194;-27.86286694;z4_GSD_34355       ;HRG14 J033219.73-275146.3;053.082222;-27.862867; 3.56; 3.23; 3.75;-19.72;-19.81;-19.53
053.17167306;-27.80588500;z4_GSD_18209       ;HRG14 J033241.20-274821.2;053.171673;-27.805885; 3.56; 3.18; 3.77;-19.03;-19.26;-18.76
053.22044389;-27.80875000;z4_GSD_19143       ;HRG14 J033252.91-274831.5;053.220444;-27.808750; 3.56; 3.48; 3.64;-20.67;-20.75;-20.61
053.15543694;-27.82469389;z4_GSD_24199       ;HRG14 J033237.30-274928.9;053.155437;-27.824694; 3.56; 0.49; 3.78;-18.59;-18.73;-18.29
053.11140806;-27.80464389;z4_GSD_17857       ;HRG14 J033226.74-274816.7;053.111408;-27.804644; 3.56; 3.08; 3.77;-18.80;-18.94;-18.48
053.05337111;-27.76733389;z4_GSD_5651        ;HRG14 J033212.81-274602.4;053.053371;-27.767334; 3.56; 0.50; 3.92;-19.64;-19.91;-19.45
053.19005611;-27.77329306;z4_GSD_7398        ;HRG14 J033245.61-274623.9;053.190056;-27.773293; 3.56; 0.46; 3.85;-19.24;-19.43;-19.06
053.08612806;-27.80187611;z4_GSD_16944       ;HRG14 J033220.67-274806.8;053.086128;-27.801876; 3.56; 3.41; 3.69;-19.23;-19.32;-19.05
053.11829000;-27.84126889;z4_GSD_29990       ;HRG14 J033228.39-275028.6;053.118290;-27.841269; 3.56; 0.31; 3.76;-18.70;-18.84;-18.57
053.07664889;-27.85136389;z4_GSD_31245       ;HRG14 J033218.40-275104.9;053.076649;-27.851364; 3.56; 3.43; 3.67;-20.31;-20.36;-20.14
053.21801000;-27.82649194;z4_GSD_24778       ;HRG14 J033252.32-274935.4;053.218010;-27.826492; 3.56; 3.09; 3.93;-20.00;-20.31;-19.64
053.19829194;-27.78915611;z4_GSD_12729       ;HRG14 J033247.59-274721.0;053.198292;-27.789156; 3.56; 0.31; 3.74;-19.65;-19.92;-19.54
053.09476889;-27.83865694;z4_GSD_28800       ;HRG14 J033222.74-275019.2;053.094769;-27.838657; 3.56; 0.35; 3.76;-19.88;-20.01;-19.73
053.06175611;-27.86794500;z4_GSD_35064       ;HRG14 J033214.82-275204.6;053.061756;-27.867945; 3.56; 3.50; 3.64;-21.67;-21.71;-21.64
053.15541500;-27.82420306;z4_GSD_24029       ;HRG14 J033237.30-274927.1;053.155415;-27.824203; 3.56; 3.43; 3.68;-19.36;-19.43;-19.19
053.15399194;-27.82117694;z4_GSD_23062       ;HRG14 J033236.96-274916.2;053.153992;-27.821177; 3.56; 0.31; 3.69;-20.40;-20.58;-20.31
053.13493694;-27.74710694;z4_GSD_1517        ;HRG14 J033232.38-274449.6;053.134937;-27.747107; 3.56; 3.42; 3.68;-19.29;-19.37;-19.12
053.13130611;-27.79321500;z4_GSD_14100       ;HRG14 J033231.51-274735.6;053.131306;-27.793215; 3.56; 0.29; 3.75;-18.81;-18.97;-18.61
053.02970889;-27.80293111;z4_GSD_17275       ;HRG14 J033207.13-274810.6;053.029709;-27.802931; 3.56; 3.46; 3.65;-19.92;-19.94;-19.77
053.03897111;-27.79839111;z4_GSD_15809       ;HRG14 J033209.35-274754.2;053.038971;-27.798391; 3.56; 0.75; 3.75;-18.63;-18.84;-18.44
053.07354389;-27.78020306;z4_GSD_9632        ;HRG14 J033217.65-274648.7;053.073544;-27.780203; 3.56; 3.21; 3.79;-18.83;-19.00;-18.58
053.03249694;-27.82684306;z4_GSD_24912       ;HRG14 J033207.80-274936.6;053.032497;-27.826843; 3.56; 3.15; 3.79;-18.49;-18.65;-18.25
053.10088694;-27.80131000;z4_GSD_16768       ;HRG14 J033224.21-274804.7;053.100887;-27.801310; 3.56; 3.41; 3.74;-19.13;-19.22;-18.91
053.17132611;-27.84807611;z4_GSD_31337       ;HRG14 J033241.12-275053.1;053.171326;-27.848076; 3.56; 0.30; 3.76;-18.70;-19.07;-18.58
053.07515000;-27.88006000;z4_GSD_36226       ;HRG14 J033218.04-275248.2;053.075150;-27.880060; 3.56; 3.20; 3.66;-18.85;-19.01;-18.72
053.12798306;-27.84542694;z4_GSD_30657       ;HRG14 J033230.72-275043.5;053.127983;-27.845427; 3.56; 0.64; 3.72;-19.11;-19.12;-18.75
053.09650000;-27.85234806;z4_GSD_32551       ;HRG14 J033223.16-275108.5;053.096500;-27.852348; 3.56; 0.42; 3.72;-19.39;-19.55;-19.14
053.09055694;-27.86919806;z4_GSD_35245       ;HRG14 J033221.73-275209.1;053.090557;-27.869198; 3.56; 3.21; 3.71;-18.76;-18.85;-18.42
053.12720111;-27.80583194;z4_GSD_18198       ;HRG14 J033230.53-274821.0;053.127201;-27.805832; 3.56; 0.39; 3.83;-18.97;-19.22;-18.76
053.03657889;-27.79857306;z4_GSD_15874       ;HRG14 J033208.78-274754.9;053.036579;-27.798573; 3.56; 2.81; 3.79;-18.52;-18.72;-18.21
053.08122611;-27.87459889;z4_GSD_35815       ;HRG14 J033219.49-275228.6;053.081226;-27.874599; 3.56; 3.37; 3.79;-20.52;-20.78;-20.49
053.06864500;-27.83854889;z4_GSD_28751       ;HRG14 J033216.47-275018.8;053.068645;-27.838549; 3.56; 3.03; 3.80;-19.67;-19.90;-19.31
053.16278500;-27.83967194;z4_GSD_29289       ;HRG14 J033239.07-275022.8;053.162785;-27.839672; 3.56; 0.45; 3.82;-18.43;-18.66;-17.90
053.06153111;-27.79321306;z4_GSD_14104       ;HRG14 J033214.77-274735.6;053.061531;-27.793213; 3.57; 3.04; 3.85;-18.91;-19.11;-18.46
053.20155306;-27.79514500;z4_GSD_14761       ;HRG14 J033248.37-274742.5;053.201553;-27.795145; 3.57; 0.67; 3.85;-18.36;-18.47;-17.92
053.04230500;-27.78141611;z4_GSD_10026       ;HRG14 J033210.15-274653.1;053.042305;-27.781416; 3.57; 3.46; 3.69;-20.13;-20.28;-20.10
053.05623611;-27.79544306;z4_GSD_14848       ;HRG14 J033213.50-274743.6;053.056236;-27.795443; 3.57; 2.92; 3.79;-19.06;-19.25;-18.73
053.07276889;-27.80255306;z4_GSD_17148       ;HRG14 J033217.46-274809.2;053.072769;-27.802553; 3.57; 0.63; 3.97;-18.44;-18.72;-17.89
053.11620694;-27.85729000;z4_GSD_33327       ;HRG14 J033227.89-275126.2;053.116207;-27.857290; 3.57; 3.39; 3.75;-19.65;-19.84;-19.52
053.07625611;-27.85445611;z4_GSD_32777       ;HRG14 J033218.30-275116.0;053.076256;-27.854456; 3.57; 0.63; 3.89;-18.27;-18.50;-17.77
053.12262000;-27.85784306;z4_GSD_33470       ;HRG14 J033229.43-275128.2;053.122620;-27.857843; 3.57; 3.49; 3.67;-19.94;-20.04;-19.86
053.19592694;-27.77268194;z4_GSD_7203        ;HRG14 J033247.02-274621.7;053.195927;-27.772682; 3.57; 3.21; 3.76;-19.63;-19.78;-19.27
053.06303389;-27.84339694;z4_GSD_30168       ;HRG14 J033215.13-275036.2;053.063034;-27.843397; 3.57; 3.27; 4.28;-19.44;-19.97;-19.22
053.18172111;-27.74484111;z4_GSD_1270        ;HRG14 J033243.61-274441.4;053.181721;-27.744841; 3.57; 0.82; 4.54;-16.92;-17.19;-15.95
053.10997389;-27.79111111;z4_GSD_13511       ;HRG14 J033226.39-274728.0;053.109974;-27.791111; 3.57; 0.50; 3.89;-18.46;-18.69;-18.07
053.06997694;-27.87475000;z4_GSD_35844       ;HRG14 J033216.79-275229.1;053.069977;-27.874750; 3.57; 3.44; 3.72;-20.57;-20.68;-20.44
053.14639306;-27.74127806;z4_GSD_832         ;HRG14 J033235.13-274428.6;053.146393;-27.741278; 3.57; 3.18; 3.81;-19.98;-20.19;-19.87
053.02811806;-27.79037111;z4_GSD_13151       ;HRG14 J033206.75-274725.3;053.028118;-27.790371; 3.57; 3.34; 3.71;-20.00;-20.12;-19.87
053.14165889;-27.77494000;z4_GSD_7959        ;HRG14 J033234.00-274629.8;053.141659;-27.774940; 3.57; 3.23; 3.77;-19.11;-19.35;-18.95
053.19049500;-27.77292389;z4_GSD_7233        ;HRG14 J033245.72-274622.5;053.190495;-27.772924; 3.57; 0.38; 3.91;-19.39;-19.68;-19.26
053.07146806;-27.76725000;z4_GSD_5622        ;HRG14 J033217.15-274602.1;053.071468;-27.767250; 3.57; 3.40; 3.73;-20.29;-20.44;-20.25
053.10926111;-27.82259000;z4_GSD_23486       ;HRG14 J033226.22-274921.3;053.109261;-27.822590; 3.57; 3.26; 4.71;-19.41;-20.03;-19.02
053.17020806;-27.83337611;z4_GSD_27035       ;HRG14 J033240.85-275000.2;053.170208;-27.833376; 3.58; 3.45; 3.66;-21.73;-21.81;-21.64
053.06371306;-27.77656889;z4_GSD_8419        ;HRG14 J033215.29-274635.6;053.063713;-27.776569; 3.58; 3.30; 3.77;-20.72;-20.83;-20.46
053.06225611;-27.87194611;z4_GSD_35557       ;HRG14 J033214.94-275219.0;053.062256;-27.871946; 3.58; 3.46; 3.72;-20.20;-20.28;-20.04
053.13902694;-27.75885389;z4_GSD_3769        ;HRG14 J033233.37-274531.9;053.139027;-27.758854; 3.58; 3.39; 3.77;-17.97;-18.19;-17.79
