#
#   VizieR Astronomical Server vizier.u-strasbg.fr
#    Date: 2019-10-26T17:59:56 [V1.99+ (14-Oct-2013)]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	votable-version=1.99+ (14-Oct-2013)	
#INFO	-ref=VIZ5db48985b4a9	
#INFO	-out.max=unlimited	
#INFO	queryParameters=29	
#-oc.form=dec
#-out.max=unlimited
#-nav=cat:J/ApJ/814/95&tab:{J/ApJ/814/95/highz}&key:source=J/ApJ/814/95&HTTPPRM:&
#-c.eq=J2000
#-c.r=  2
#-c.u=arcmin
#-c.geom=r
#-source=J/ApJ/814/95/highz
#-order=I
#-out=ID
#-out=RAJ2000
#-out=DEJ2000
#-out=z
#-out=b_z
#-out=B_z
#-out=logM*
#-out=b_logM*
#-out=B_logM*
#-out=Age
#-out=b_Age
#-out=B_Age
#-out=E(B-V)
#-out=b_E(B-V)
#-out=B_E(B-V)
#-out=SFR
#-out=b_SFR
#-out=B_SFR
#-out=Simbad
#Simbad=Simbad
#

#RESOURCE=yCat_18140095
#Name: J/ApJ/814/95
#Title: Star formation rate of 4<~z<~8 galaxies (Finkelstein+, 2015)
#Table	J_ApJ_814_95_highz:
#Name: J/ApJ/814/95/highz
#Title: Stellar populations of bright galaxies at z=4, 5, 6 and 7 (tables 3-6)
#Column	ID	(A12)	Galaxy identifier (1)	[ucd=meta.id;meta.main]
#Column	RAJ2000	(F10.6)	Right ascension in decimal degrees (J2000)	[ucd=pos.eq.ra;meta.main]
#Column	DEJ2000	(F10.6)	Declination in decimal degrees (J2000)	[ucd=pos.eq.dec;meta.main]
#Column	z	(F5.2)	[3.5/7.7] Redshift	[ucd=src.redshift]
#Column	b_z	(F5.2)	[0.6/7.5] Minimum redshift	[ucd=src.redshift;stat.min]
#Column	B_z	(F5.2)	[3.6/7.9] Maximum redshift	[ucd=src.redshift;stat.max]
#Column	logM*	(F5.2)	[8.7/11.3] Log of stellar mass	[ucd=phys.mass]
#Column	b_logM*	(F5.2)	[6.5/11.2] Minimum logM*	[ucd=phys.mass;stat.min]
#Column	B_logM*	(F5.2)	[9.2/11.4] Maximum logM*	[ucd=phys.mass;stat.max]
#Column	Age	(I4)	[10/1015] Age	[ucd=time.age]
#Column	b_Age	(I3)	[10/904] Minimum Age	[ucd=time.age;stat.min]
#Column	B_Age	(I4)	[10/1015] Maximum Age	[ucd=time.age;stat.max]
#Column	E(B-V)	(F5.2)	[0/0.4] B-V color excess	[ucd=phot.color.excess]
#Column	b_E(B-V)	(F5.2)	[0/0.4] Minimum E(B-V)	[ucd=phot.color;stat.min]
#Column	B_E(B-V)	(F5.2)	[0.02/0.7] Maximum E(B-V)	[ucd=phot.color;stat.max]
#Column	SFR	(I4)	[12/1066] Star formation rate	[ucd=phys.SFR]
#Column	b_SFR	(I3)	[0/863] Minimum SFR	[ucd=phys.SFR;stat.min]
#Column	B_SFR	(I4)	[15/1186] Maximum SFR	[ucd=phys.SFR;stat.max]
#Column	Simbad	(a6)	Simbad column added by the CDS	[ucd=meta.ref.url]
ID;RAJ2000;DEJ2000;z;b_z;B_z;logM*;b_logM*;B_logM*;Age;b_Age;B_Age;E(B-V);b_E(B-V);B_E(B-V);SFR;b_SFR;B_SFR;Simbad
z4_ERS_11888;053.069328;-27.714815; 3.70; 3.62; 3.78; 9.55; 9.29; 9.76;  49; 19;  49; 0.00; 0.00; 0.18;  14; 14;  77;Simbad
z4_GSD_11269;053.031239;-27.785215; 3.71; 3.61; 3.79;10.06;10.02;10.16;  49; 40; 101; 0.10; 0.10; 0.24;  45; 43; 176;Simbad
z4_GSD_27735;053.138859;-27.835371; 3.72; 3.65; 3.79; 9.56; 9.36; 9.63;  30; 19;  57; 0.14; 0.02; 0.18;  54; 17;  78;Simbad
z4_GSW_2898 ;053.144775;-27.871527; 3.78; 3.68; 3.87;10.18; 9.88;10.20;  39; 30;  49; 0.20; 0.06; 0.26; 131; 35; 200;Simbad
z4_GSD_31543;053.066261;-27.849056; 3.81; 3.75; 3.98;10.12;10.00;10.20;  49; 30;  57; 0.12; 0.10; 0.20;  52; 41; 117;Simbad
z4_GND_38889;189.181412;+62.189281; 3.81; 3.75; 4.05;10.40;10.38;10.48;  57; 49;  71; 0.14; 0.14; 0.22;  68; 65; 163;Simbad
z4_ERS_4079 ;053.110340;-27.689985; 3.81; 3.74; 3.99;10.09; 9.87;10.17;  19; 10;  57; 0.32; 0.06; 0.34; 325; 31; 373;Simbad
z4_GSW_7015 ;053.189873;-27.892590; 3.83; 3.75; 3.93;10.15; 9.77;10.15;  49; 30;  80; 0.16; 0.06; 0.22;  84; 32; 152;Simbad
z4_GSW_6936 ;053.073589;-27.892235; 3.83; 3.76; 3.92;10.47;10.40;10.49; 286;202; 718; 0.00; 0.00; 0.12;  22; 22;  81;Simbad
z4_GSW_9851 ;053.181850;-27.906641; 3.85; 3.79; 3.95; 9.97; 9.64; 9.94;  49; 30;  49; 0.12; 0.00; 0.20;  56; 18; 114;Simbad
z4_GNW_12987;189.040390;+62.186352; 3.92; 3.84; 4.00; 9.66; 9.49; 9.69;  57; 40;  71; 0.02; 0.00; 0.02;  19; 15;  23;Simbad
z4_ERS_5026 ;053.133690;-27.693453; 3.93; 3.82; 4.05; 9.67; 9.63; 9.90;  39; 30; 101; 0.06; 0.00; 0.12;  27; 16;  49;Simbad
z4_GSD_34857;053.076183;-27.866360; 3.98; 3.89; 4.11;10.32;10.23;10.37; 286; 40; 286; 0.16; 0.14; 0.16; 123; 96; 128;Simbad
z4_GSD_23593;053.232452;-27.822868; 3.99; 3.89; 4.14; 9.48; 9.33; 9.92;  19; 19;  80; 0.18; 0.14; 0.22;  72; 52; 101;Simbad
z4_GSD_905  ;053.168266;-27.741940; 4.01; 3.92; 4.11; 9.78; 9.44; 9.76;  90; 19;  90; 0.00; 0.00; 0.20;  13; 13;  88;Simbad
z4_GNW_25081;189.331039;+62.290836; 4.01; 3.90; 4.10; 9.39; 9.34; 9.43;  10; 10;  10; 0.26; 0.24; 0.26; 140;122; 144;Simbad
z4_ERS_3543 ;053.144386;-27.687588; 4.02; 3.87; 4.16;10.01; 9.96;10.26;  39; 40; 404; 0.16; 0.06; 0.16;  78; 30;  83;Simbad
z4_GND_40720;189.179291;+62.182003; 4.02; 3.84; 4.20; 9.70; 9.26; 9.74;  30; 19;  80; 0.20; 0.02; 0.20;  75; 12;  83;Simbad
z4_GNW_18460;189.286835;+62.367325; 4.05; 3.92; 4.16;10.28;10.22;10.38; 286;202; 806; 0.00; 0.00; 0.10;  20; 19;  53;Simbad
z4_ERS_22264;053.075272;-27.755194; 4.06; 3.96; 4.17;10.12;10.01;10.24;  39; 30; 508; 0.16; 0.10; 0.16;  93; 62;  99;Simbad
z4_GND_27047;189.356354;+62.227554; 4.10; 3.92; 4.21;10.47;10.26;10.54; 202; 49; 904; 0.12; 0.12; 0.20;  52; 50;  98;Simbad
z4_GNW_21799;189.329178;+62.331532; 4.10; 4.03; 4.17; 9.82; 9.69; 9.96;  57; 40;  80; 0.00; 0.00; 0.04;  24; 23;  35;Simbad
z4_GNW_23907;189.467804;+62.297764; 4.10; 3.98; 4.21; 9.94; 9.82;10.31;  80; 19; 101; 0.20; 0.14; 0.24; 122; 79; 164;Simbad
z4_GND_7728 ;189.270905;+62.291943; 4.10; 4.01; 4.20;10.23; 9.78;10.24; 101; 19; 101; 0.20; 0.16; 0.22; 133; 91; 163;Simbad
z4_GSD_15152;053.027557;-27.796583; 4.12; 4.05; 4.22;10.41;10.23;10.44; 101; 49; 101; 0.20; 0.20; 0.24; 171;178; 266;Simbad
z4_GNW_17778;189.311584;+62.382095; 4.14; 4.00; 4.29; 9.76; 9.29; 9.82;  30; 19;  49; 0.18; 0.10; 0.20;  85; 41;  99;Simbad
z4_ERS_11615;053.107601;-27.713976; 4.14; 4.01; 4.26; 9.52; 9.61; 9.96;  19; 30; 101; 0.18; 0.02; 0.18;  79; 18;  83;Simbad
z4_GND_23790;189.233093;+62.236786; 4.15; 4.06; 4.27;10.50;10.49;10.60; 101; 57; 404; 0.18; 0.08; 0.18; 211; 83; 221;Simbad
z4_GSD_20508;053.192692;-27.813051; 4.17; 4.06; 4.26; 9.65; 9.61; 9.92;  30; 30; 202; 0.14; 0.04; 0.16;  59; 25;  76;Simbad
z4_GNW_18340;189.299255;+62.370079; 4.19; 4.03; 4.30;11.29;11.17;11.33;1015;904;1015; 0.18; 0.18; 0.24; 146;142; 226;Simbad
z4_GNW_15232;189.014038;+62.200378; 4.22; 4.11; 4.31;10.18; 9.80;10.18;  71; 30;  80; 0.22; 0.20; 0.26; 178;139; 242;Simbad
z4_ERS_14762;053.016903;-27.723013; 4.22; 4.11; 4.32; 9.40; 9.32; 9.84;  19; 19;  80; 0.16; 0.08; 0.18;  57; 28;  78;Simbad
z4_GNW_11056;189.013092;+62.173153; 4.23; 4.08; 4.31; 9.64; 9.61; 9.78;  39; 30;  57; 0.04; 0.00; 0.08;  26; 16;  38;Simbad
z4_GSW_66   ;053.230198;-27.839573; 4.24; 4.17; 4.33; 9.76; 9.76;10.22;  19; 19;  90; 0.18; 0.12; 0.18; 138; 80; 143;Simbad
z4_GSD_9138 ;053.215435;-27.778782; 4.24; 4.10; 4.37;10.07; 9.82;10.08; 101; 80; 101; 0.18; 0.00; 0.20;  92; 18; 102;Simbad
z4_GNW_3896 ;189.145218;+62.129818; 4.24; 4.12; 4.39; 9.80; 9.77;10.12;  10; 10;  40; 0.34; 0.32; 0.34; 346;297; 359;Simbad
z4_GNW_8115 ;189.145187;+62.154770; 4.25; 4.09; 4.34; 9.62; 9.54; 9.79;  49; 40;  80; 0.02; 0.00; 0.06;  19; 15;  31;Simbad
z4_GNW_26546;189.445068;+62.281898; 4.26; 4.02; 4.38;10.36;10.35;10.59; 101; 57; 286; 0.28; 0.00; 0.30; 151; 12; 228;Simbad
z4_GND_9704 ;189.201706;+62.278599; 4.27; 4.19; 4.36; 9.85; 9.85;10.23;  30; 30;  90; 0.14; 0.04; 0.16;  95; 38; 117;Simbad
z4_GND_21065;189.290955;+62.244240; 4.29; 4.13; 4.41;10.47;10.17;10.53; 202; 80; 286; 0.30; 0.18; 0.30; 264; 81; 240;Simbad
z4_GND_31952;189.119812;+62.212612; 4.29; 4.19; 4.37; 9.56; 9.50; 9.90;  30; 30;  57; 0.12; 0.06; 0.14;  45; 27;  58;Simbad
z4_GNW_24624;189.388474;+62.294460; 4.30; 4.17; 4.43; 9.34; 9.35; 9.62;  39; 30;  57; 0.00; 0.00; 0.10;  12; 11;  41;Simbad
z4_GNW_11698;188.988419;+62.177494; 4.30; 4.19; 4.39; 9.62; 9.42; 9.66;  30; 19;  49; 0.16; 0.02; 0.20;  61; 14;  82;Simbad
z4_GNW_460  ;189.120911;+62.101513; 4.30; 4.18; 4.40; 9.41; 9.36; 9.80;  30; 19;  71; 0.08; 0.00; 0.16;  27; 14;  64;Simbad
z4_GNW_2957 ;189.185181;+62.122967; 4.30; 4.17; 4.42; 9.90; 9.89;10.12;  30; 30;  49; 0.16; 0.12; 0.18;  84; 59;  95;Simbad
z4_GNW_31531;189.295654;+62.349960; 4.31; 4.15; 4.43;10.32;10.10;10.46; 404; 49; 286; 0.24; 0.16; 0.30; 122; 54; 208;Simbad
z4_GNW_7377 ;189.108002;+62.151005; 4.31; 4.25; 4.37;10.35;10.24;10.35;  80; 30;  80; 0.00; 0.00; 0.12;  57; 56; 179;Simbad
z4_GSD_21252;053.143112;-27.815502; 4.33; 4.24; 4.39;10.05;10.03;10.47;  57; 30; 101; 0.18; 0.16; 0.22; 181;149; 266;Simbad
z4_GND_30347;189.324326;+62.217796; 4.34; 4.24; 4.41; 9.71; 9.54; 9.82;1015; 40; 404; 0.08; 0.06; 0.12;  26; 21;  39;Simbad
z4_GNW_24183;189.466507;+62.296875; 4.35; 4.21; 4.43;10.09; 9.95;10.22; 570; 71; 570; 0.14; 0.10; 0.18;  68; 42; 107;Simbad
z4_GNW_21312;189.366592;+62.330898; 4.38; 4.25; 4.46; 9.66; 9.72;10.34;  10; 10;  30; 0.26; 0.22; 0.32; 210;154; 394;Simbad
z4_GND_27301;189.093216;+62.226814; 4.39; 4.29; 4.47;10.00; 9.90;10.14; 904; 40; 718; 0.14; 0.10; 0.18;  50; 37;  74;Simbad
z4_GSD_16522;053.076065;-27.800694; 4.39; 4.32; 4.47; 9.67; 9.52;10.14;  19; 10;  90; 0.22; 0.22; 0.26; 160;154; 224;Simbad
z4_GNW_21830;189.366791;+62.331589; 4.40; 4.30; 4.48; 9.95; 9.95;10.26;  30; 30; 286; 0.20; 0.14; 0.20; 118; 65; 120;Simbad
z4_GND_7158 ;189.252747;+62.298897; 4.41; 4.31; 4.50;10.27; 9.94;10.30; 101; 40; 101; 0.26; 0.22; 0.28; 146; 90; 167;Simbad
z4_GNW_32075;189.304321;+62.353088; 4.41; 4.31; 4.48;10.46;10.45;10.77;  30; 30; 202; 0.26; 0.20; 0.26; 384;229; 397;Simbad
z4_GNW_7816 ;189.049530;+62.152920; 4.42; 4.33; 4.49; 9.70; 9.71;10.15;  19; 19;  71; 0.18; 0.12; 0.20; 100; 64; 121;Simbad
z4_GSW_5453 ;053.199787;-27.884937; 4.42; 4.32; 4.49; 9.90; 9.77;10.03; 286; 80; 570; 0.16; 0.14; 0.20;  52; 42;  75;Simbad
z4_GND_39360;189.242157;+62.187439; 4.44; 4.32; 4.54; 9.86; 9.79;10.15;  71; 30;  90; 0.18; 0.16; 0.24;  65; 54; 118;Simbad
z4_GSW_1319 ;053.201015;-27.860250; 4.44; 4.37; 4.51; 9.84; 9.60; 9.87;  39; 30;  90; 0.14; 0.00; 0.18;  60; 16;  89;Simbad
z4_GNW_8416 ;189.195557;+62.156864; 4.45; 4.31; 4.54;10.51;10.39;10.58; 286; 49; 286; 0.24; 0.20; 0.30; 136; 91; 259;Simbad
z4_GND_32575;189.173126;+62.210808; 4.45; 4.36; 4.53; 9.75; 9.37; 9.72;  39; 30;  49; 0.14; 0.06; 0.18;  49; 21;  72;Simbad
z4_GNW_13552;189.061249;+62.189472; 4.45; 4.34; 4.54; 9.92; 9.94;10.38;  19; 19;  71; 0.24; 0.20; 0.26; 164;109; 184;Simbad
z4_GNW_8070 ;189.107422;+62.154560; 4.45; 4.37; 4.53; 9.81; 9.71; 9.88;  30; 30;  49; 0.16; 0.04; 0.18;  96; 29; 105;Simbad
z4_ERS_5818 ;053.069077;-27.696518; 4.47; 4.38; 4.56; 9.43; 9.37; 9.64;  39; 30;  49; 0.02; 0.00; 0.16;  16; 13;  65;Simbad
z4_GNW_20572;189.313507;+62.320702; 4.47; 4.37; 4.56; 9.83; 9.52; 9.86;  39; 30;  90; 0.16; 0.04; 0.16;  58; 17;  56;Simbad
z4_GNW_18301;189.335205;+62.370796; 4.47; 4.39; 4.54; 9.97; 9.88;10.31;  30; 30;  90; 0.18; 0.16; 0.22; 116; 98; 194;Simbad
z4_GNW_18575;189.297821;+62.365429; 4.49; 4.42; 4.55;10.70;10.37;10.74;  30; 19;  57; 0.28; 0.24; 0.30; 739;458; 894;Simbad
z4_GNW_2261 ;189.192337;+62.117081; 4.50; 4.42; 4.57; 9.96; 9.62; 9.97;  39; 30;  80; 0.14; 0.02; 0.18;  79; 23; 115;Simbad
z4_GND_40010;189.335739;+62.184937; 4.51; 4.44; 4.56;10.16; 9.98;10.20;  57; 30;  90; 0.06; 0.00; 0.16;  62; 35; 158;Simbad
z4_GNW_7213 ;189.108322;+62.150093; 4.51; 0.69; 4.57; 9.89; 6.51; 9.87;  30; 19;  90; 0.20; 0.10; 0.66; 116;  0; 142;Simbad
z4_GNW_7206 ;189.108185;+62.149807; 4.54; 4.46; 4.61; 9.97; 9.85;10.12;  19; 19;  30; 0.26; 0.22; 0.28; 245;149; 279;Simbad
z4_GSW_8512 ;053.177471;-27.900093; 4.54; 4.48; 4.60; 9.53; 9.54;10.02;  19; 19;  40; 0.18; 0.18; 0.26;  67; 67; 152;Simbad
z4_GND_25942;189.147903;+62.230583; 4.54; 4.44; 4.63;10.09; 9.89;10.23;  19; 19;  57; 0.30; 0.24; 0.32; 325;180; 360;Simbad
z4_GSD_36028;053.079254;-27.877260; 4.54; 4.46; 4.59;10.21; 9.96;10.22;1015; 30; 202; 0.10; 0.06; 0.12;  83; 56; 104;Simbad
z4_GND_14271;189.305084;+62.263287; 4.56; 4.44; 4.65;10.79;10.45;10.79;  39; 40;  80; 0.36; 0.30; 0.36; 537;295; 541;Simbad
z4_GNW_18613;189.276077;+62.364826; 4.57; 4.47; 4.64;10.04;10.06;10.58;  19; 19;  57; 0.22; 0.20; 0.26; 219;184; 335;Simbad
z5_GSW_8762 ;053.208008;-27.901289; 4.51; 4.44; 4.57; 9.72; 9.50; 9.78;  49; 30;  71; 0.06; 0.00; 0.08;  31; 16;  38;Simbad
z5_GND_36639;189.186142;+62.197327; 4.56; 4.45; 4.68;10.25;10.11;10.52;  80; 19; 101; 0.28; 0.26; 0.32; 223;203; 330;Simbad
z5_GNW_17976;189.300125;+62.377483; 4.57; 4.42; 4.74;10.19;10.12;10.37; 286; 80; 286; 0.22; 0.10; 0.26; 102; 31; 164;Simbad
z5_GSD_9044 ;053.091724;-27.778580; 4.58; 4.48; 4.67;10.26;10.02;10.25; 202; 40; 508; 0.06; 0.06; 0.18;  32; 33; 110;Simbad
z5_GSW_6918 ;053.234589;-27.892109; 4.66; 4.58; 4.75; 9.52; 9.38; 9.59;  57; 49;  57; 0.00; 0.00; 0.02;  14; 13;  18;Simbad
z5_GND_38041;189.299210;+62.192570; 4.67; 4.60; 4.74; 9.36; 9.31; 9.89;  10; 10;  19; 0.22; 0.20; 0.28; 106; 94; 198;Simbad
z5_GND_16758;189.176086;+62.256329; 4.71; 4.62; 4.84;10.03; 9.96;10.11;  19; 19;  30; 0.26; 0.26; 0.28; 277;272; 336;Simbad
z5_GSD_33149;053.070778;-27.856453; 4.71; 4.62; 4.81;10.02; 9.63;10.30; 101; 10; 508; 0.20; 0.10; 0.24; 116; 49; 172;Simbad
z5_GSD_13326;053.095345;-27.790989; 4.71; 4.64; 4.79;10.19; 9.98;10.26;  30; 19;  80; 0.26; 0.16; 0.26; 228; 86; 238;Simbad
z5_ERS_3475 ;053.070839;-27.687143; 4.72; 4.66; 4.81; 9.95; 9.84;10.39;  19; 19;  40; 0.26; 0.26; 0.32; 205;211; 369;Simbad
z5_GND_38212;189.273590;+62.192028; 4.72; 4.65; 5.06; 9.84; 9.82;10.19;  30; 30;  71; 0.16; 0.08; 0.20;  72; 43; 136;Simbad
z5_GSW_1565 ;053.238213;-27.862486; 4.75; 4.70; 4.79; 9.96; 9.51; 9.96;  30; 19;  30; 0.18; 0.12; 0.20; 135; 73; 158;Simbad
z5_GND_12253;189.294418;+62.269447; 4.77; 4.70; 4.90;10.06; 9.87;10.19; 570; 40; 718; 0.14; 0.10; 0.20;  55; 39; 104;Simbad
z5_ERS_12604;053.021912;-27.716784; 4.81; 4.76; 4.89; 9.60; 9.60; 9.84;  39; 40;1015; 0.08; 0.02; 0.10;  30; 17;  34;Simbad
z5_GNW_25539;189.489624;+62.288536; 4.81; 4.76; 4.87;10.34;10.03;10.43;  19; 19;  40; 0.26; 0.18; 0.26; 570;266; 567;Simbad
z5_ERS_2517 ;053.119019;-27.682158; 4.82; 4.76; 4.93; 9.70; 9.41; 9.77;  30; 30;  80; 0.18; 0.00; 0.16;  73; 14;  68;Simbad
z5_GND_17343;189.091400;+62.254662; 4.83; 4.75; 4.95;10.16;10.05;10.19;  30; 19;  71; 0.24; 0.06; 0.24; 214; 45; 230;Simbad
z5_ERS_6044 ;053.048820;-27.697111; 4.85; 4.78; 4.94; 9.85; 9.78; 9.87;  90; 30;  90; 0.00; 0.00; 0.20;  15; 15;  94;Simbad
z5_GSW_6966 ;053.245884;-27.892273; 4.94; 0.83; 4.98;10.29;10.20;10.37;  19; 10;  30; 0.34; 0.28; 0.36; 506;265; 566;Simbad
z5_GNW_6112 ;189.064835;+62.143963; 4.95; 4.90; 5.06; 9.85; 9.47;10.02;  19; 10;  71; 0.26; 0.06; 0.28; 183; 31; 221;Simbad
z5_GSD_10352;053.021172;-27.782366; 4.95; 4.91; 4.99;10.43;10.36;10.80;  57; 19;  90; 0.22; 0.08; 0.24; 474;137; 571;Simbad
z5_GNW_4779 ;189.203064;+62.136204; 4.96; 4.88; 5.15; 9.86;10.07;10.31;  19; 30; 286; 0.28; 0.04; 0.32; 174; 20; 244;Simbad
z5_GND_15230;189.205124;+62.260712; 5.02; 4.96; 5.08; 9.41; 9.41; 9.69;  39; 30;  49; 0.00; 0.00; 0.12;  15; 15;  59;Simbad
z5_GNW_16101;189.000168;+62.207241; 5.02; 4.78; 5.06; 9.50; 9.20; 9.52;  49; 30;  49; 0.02; 0.00; 0.04;  18; 12;  20;Simbad
z5_GNW_10657;189.130219;+62.170780; 5.03; 4.80; 5.15; 9.35; 9.19; 9.44;  49; 30;  57; 0.00; 0.00; 0.06;  13; 11;  27;Simbad
z5_GNW_19973;189.371780;+62.324554; 5.03; 4.80; 5.12;10.10;10.15;10.59;  10; 10; 202; 0.38; 0.22; 0.34; 681;140; 473;Simbad
